compartment	feature
cells	Children_Cytoplasm_Count
cells	Children_ResizeCells_Count
cells	Number_Object_Number
cells	Parent_Nuclei
cells	ImageNumber
cells	ObjectNumber
nuclei	Children_Cells_Count
nuclei	Children_Cytoplasm_Count
nuclei	Children_ResizeNuclei_Count
nuclei	Neighbors_FirstClosestObjectNumber_2
nuclei	Neighbors_SecondClosestObjectNumber_2
nuclei	Number_Object_Number
nuclei	ImageNumber
nuclei	ObjectNumber
cytoplasm	Number_Object_Number
cytoplasm	Parent_Nuclei
cytoplasm	Parent_Cells
cytoplasm	ImageNumber
cytoplasm	ObjectNumber
